id,name,cpu,motherboard,gpu,ram,storage,psu,cabinet,price (INR)
1,Business Workstation,Intel Xeon W-3345,Supermicro X12SPA-TF,NVIDIA RTX A6000,128GB DDR4 ECC,4TB NVMe SSD,1200W,Corsair 4000D Airflow Mid-Tower,950000
2,Business Workstation,AMD EPYC 7763,ASRock Rack EPYCD8-2T,NVIDIA RTX 4090,128GB DDR4 ECC,4TB NVMe SSD,1200W,Phanteks Eclipse P500A Mid-Tower,900000
3,Business Workstation,Intel Core i9-13900K,ASUS ROG Maximus Z790 Hero,NVIDIA RTX A5000,128GB DDR5,2TB NVMe SSD,1000W,Ant Esports ICE-300 Mesh Mid-Tower,700000
4,Business Workstation,AMD Ryzen 9 7950X,ASUS ROG Crosshair X670E Hero,NVIDIA RTX A4500,128GB DDR5,2TB NVMe SSD,1000W,Zebronics Zium Mid-Tower,680000
5,Business Workstation,Intel Xeon W-2245,ASUS WS C422 SAGE/10G,NVIDIA RTX A4000,64GB DDR4 ECC,2TB NVMe SSD,850W,Cooler Master MasterBox TD500 Mesh,500000
6,Financial Trading PC,Intel Core i9-13900,ASUS ProArt Z790-CREATOR WIFI,NVIDIA RTX 4080,64GB DDR5,2TB NVMe SSD,1000W,Lian Li Lancool II Mesh RGB,550000
7,Financial Trading PC,AMD EPYC 7643,GIGABYTE MZ72-HB0,NVIDIA RTX 4070 Ti,128GB DDR4 ECC,4TB NVMe SSD,1200W,Deepcool MACUBE 310 Mid-Tower,800000
8,Financial Trading PC,Intel Xeon W-3275,Supermicro X11SPA-T,NVIDIA RTX A5500,128GB DDR4 ECC,2TB NVMe SSD,1000W,Phanteks Enthoo Pro Full Tower,870000
9,Financial Trading PC,AMD Threadripper 3970X,ASUS ROG Zenith II Extreme,NVIDIA RTX A4000,128GB DDR4 ECC,4TB NVMe SSD,1000W,Corsair 7000D Airflow Full Tower,780000
10,Financial Trading PC,Intel Core i9-13700KF,MSI MEG Z790 ACE,NVIDIA RTX A4000,64GB DDR5,2TB NVMe SSD,850W,Antec DF700 Flux Mid-Tower,500000
11,Server & Home Lab PC,Intel Xeon W-1250P,ASUS Pro WS W480-ACE,NVIDIA RTX 4060,32GB DDR4 ECC,1TB NVMe SSD,650W,Thermaltake Core P3 Open-Frame,300000
12,Server & Home Lab PC,AMD Ryzen 7 7700,ASUS TUF GAMING B650-PLUS,NVIDIA RTX 4050,32GB DDR5,1TB NVMe SSD,650W,Lian Li PC-O11 Dynamic Mid-Tower,200000
13,Server & Home Lab PC,Intel Core i5-12600K,MSI PRO Z690-A,NVIDIA RTX 4060,32GB DDR5,1TB NVMe SSD,600W,Deepcool CK560 Mid-Tower,180000
14,Server & Home Lab PC,AMD Ryzen 5 7600X,GIGABYTE B650 AORUS ELITE AX,NVIDIA RTX 4060 Ti,32GB DDR5,2TB NVMe SSD,650W,Ant Esports ICE-511MT Mid Tower,220000
15,Server & Home Lab PC,Intel Core i3-13100F,ASRock B760M Pro RS/D4,NVIDIA RTX 3050,16GB DDR4,1TB NVMe SSD,500W,Cooler Master MasterBox MB511 ARGB,120000
